path,published_risk,modified_risk,risk_change,trend
K->J,6.5,6.5,0.0,→ Sabit
K->J->I,6.9,6.8,-0.10000000000000053,↓ İyileşen
K->J->I->H,5.2,5.1,-0.10000000000000053,↓ İyileşen
K->J->I->M,6.8,6.8,0.0,→ Sabit
K->L,3.1,3.1,0.0,→ Sabit
K->L->G,4.1,4.0,-0.09999999999999964,→ Sabit
K->L->G->F,4.6,4.6,0.0,→ Sabit
K->L->G->H,3.1,3.0,-0.10000000000000009,↓ İyileşen
K->L->H,2.0,2.0,0.0,→ Sabit
K->L->H->E,3.3,3.1,-0.19999999999999973,↓ İyileşen
K->L->H->G,3.1,3.0,-0.10000000000000009,↓ İyileşen
K->L->H->I,3.5,3.4,-0.10000000000000009,↓ İyileşen
K->L->M,4.1,4.3,0.20000000000000018,↑ Kötüleşen
K->L->M->C,4.9,4.9,0.0,→ Sabit
K->L->M->I,5.0,5.1,0.09999999999999964,→ Sabit
K->L->M->N,3.1,3.2,0.10000000000000009,↑ Kötüleşen
K->L->N,2.0,2.0,0.0,→ Sabit
K->L->N->C,3.3,3.2,-0.09999999999999964,→ Sabit
K->L->N->E,3.3,3.1,-0.19999999999999973,↓ İyileşen
K->L->N->M,3.1,3.2,0.10000000000000009,↑ Kötüleşen
K->L->N->O,1.5,3.3,1.7999999999999998,↑ Kötüleşen
K->M,6.2,6.5,0.2999999999999998,↑ Kötüleşen
K->M->C,6.5,6.6,0.09999999999999964,→ Sabit
K->M->C->B,6.8,6.9,0.10000000000000053,↑ Kötüleşen
K->M->C->D,6.3,6.3,0.0,→ Sabit
K->M->C->N,4.9,4.9,0.0,→ Sabit
K->M->I,6.7,6.8,0.09999999999999964,→ Sabit
K->M->I->H,5.0,5.1,0.09999999999999964,→ Sabit
K->M->I->J,6.8,6.8,0.0,→ Sabit
K->M->L,4.1,4.3,0.20000000000000018,↑ Kötüleşen
K->M->L->G,4.6,4.7,0.10000000000000053,↑ Kötüleşen
K->M->L->H,3.1,3.2,0.10000000000000009,↑ Kötüleşen
K->M->L->N,3.1,3.2,0.10000000000000009,↑ Kötüleşen
K->M->N,4.1,4.3,0.20000000000000018,↑ Kötüleşen
